OBJECTID,nazev,oznaceni,typ,nazev_vusc,kod_vusc,nazev_okresu,kod_okresu,nazev_orp,kod_orp,nazev_obce,kod_obce,wkt,x,y,dp_id
84,Petříkovice,570705,zastávka,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Chvaleč,579335,POINT(50.6025 16.0043),16.0043,50.6025,ZST115
85,Velké Svatoňovice,574301,zastávka,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Velké Svatoňovice,579785,POINT(50.5413 16.0237),16.0237,50.5413,ZST174
86,Česká Skalice,575001,stanice,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Česká Skalice,573990,POINT(50.3963 16.0554),16.0554,50.3963,ZST27
87,Chvaleč,573303,stanice,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Chvaleč,579335,POINT(50.6001 16.0394),16.0394,50.6001,ZST55
88,Malé Svatoňovice,574103,stanice,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Malé Svatoňovice,579513,POINT(50.5304 16.0522),16.0522,50.5304,ZST90
89,Červený Kostelec,574509,stanice,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Červený Kostelec,573965,POINT(50.4847 16.0768),16.0768,50.4847,ZST25
90,Radvanice,573204,stanice,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Radvanice,579629,POINT(50.5761 16.0614),16.0614,50.5761,ZST127
91,Rtyně v Podkrkonoší,574400,zastávka,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Rtyně v Podkrkonoší,579637,POINT(50.5165 16.0744),16.0744,50.5165,ZST129
92,Olešnice,574707,zastávka,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Červený Kostelec,573965,POINT(50.4582 16.0856),16.0856,50.4582,ZST109
93,Borohrádek,540500,stanice,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Kostelec nad Orlicí,5208,Borohrádek,576131,POINT(50.0979 16.087),16.087,50.0979,ZST11
